BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
BGC0000134	BGC0000134	Pochonia chlamydosporia strain ATCC 16683 radicicol gene cluster, partial sequence	T1PKS	PKSI	Pochonia chlamydosporia	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Sordariomycetes,Hypocreomycetidae,Hypocreales,Clavicipitaceae,Pochonia
BGC0000135	BGC0000135	Streptomyces sp. SN-593 DNA, reveromycin biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces sp. SN-593	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000136	BGC0000136	Amycolatopsis mediterranei rifamycin biosynthetic gene cluster	T1PKS.NRPS-like	PKS-NRP_Hybrids	Amycolatopsis mediterranei S699	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
BGC0000137	BGC0000137	Salinispora arenicola CNS-205, complete genome	T1PKS.NRPS-like	PKS-NRP_Hybrids	Salinispora arenicola CNS-205	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000138	BGC0000138	Streptomyces diastaticus polyketide rim gene cluster, partial sequence	T1PKS.NRPS-like	PKS-NRP_Hybrids	Streptomyces diastaticus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces diastaticus group
BGC0000140	BGC0000140	Streptomyces sp. 88-682 putative dipeptidyl aminopeptidase gene, complete cds; tetronate RK-682 biosynthetic gene cluster, complete sequence; and putative beta-lactamase domain-containing protein gene, complete cds	T1PKS	PKSI	Streptomyces sp. 88-682	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000141	BGC0000141	Streptomyces achromogenes subsp. rubradiris complete rubradirin gene cluster, strain NRRL 3061	T1PKS.aminocoumarin.NRPS-like	Others	Streptomyces rubradiris	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000142	BGC0000142	Salinispora tropica CNB-440, complete genome	T1PKS.RRE-containing	Others	Salinispora tropica CNB-440	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000143	BGC0000143	Streptomyces albus strain CCM4719 salinomycin biosynthetic gene cluster, partial sequence	T1PKS	PKSI	Streptomyces albus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000144	BGC0000144	Streptomyces albus strain XM211 polyether ionophore salinomycin biosynthetic gene cluster, complete sequence and flanking region	T1PKS.butyrolactone	Others	Streptomyces albus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000145	BGC0000145	Salinispora tropica strain CNB-476 salinosporamide A biosynthetic gene cluster, partial sequence	T1PKS.NRPS-like.transAT-PKS-like	PKS-NRP_Hybrids	Salinispora tropica	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000146	BGC0000146	Alternaria solani solanapyrone biosynthetic gene cluster (sol6, sol5, sol4, sol3, sol2, sol1), complete cds	T1PKS	PKSI	Alternaria solani	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Dothideomycetes,Pleosporomycetidae,Pleosporales,Pleosporineae,Pleosporaceae,Alternaria,Alternaria sect. Porri
BGC0000147	BGC0000147	Sorangium cellulosum acyl-CoA dehydrogenase (sorE), beta-hydroxybutyryl-CoA dehydrogenase (sorD), putative methoxymalonyl-CoA synthase (sorC), reductase (sorR), soraphen polyketide synthase A (sorA), soraphen polyketide synthase B (sorB), O-methyltransferase (sorM), beta-mannanase, and xylanse-arabinofuranosidase bifunctional enzyme genes, complete cds; and unknown genes	T1PKS	PKSI	Sorangium cellulosum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000148	BGC0000148	Saccharopolyspora spinosa probable lysR-type transcriptional regulator, probable keto acyl reductase, spinosad biosynthetic gene cluster, complete sequence, and probable exodeoxyribonuclease V genes, complete cds; and unknown gene	T1PKS	PKSI	Saccharopolyspora spinosa	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Saccharopolyspora
BGC0000149	BGC0000149	Polyangium cellulosum spirangien biosynthetic gene cluster, strain So ce90	T1PKS	PKSI	Sorangium cellulosum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000150	BGC0000150	Salinispora tropica CNB-440, complete genome	T1PKS.NRPS-like	PKS-NRP_Hybrids	Salinispora tropica CNB-440	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000151	BGC0000151	Streptomyces ambofaciens ATCC 23877 right chromosomal arm	T1PKS	PKSI	Streptomyces ambofaciens ATCC 23877	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000152	BGC0000152	Emericella nidulans sterigmatocystin biosynthetic gene cluster: (stcA), (stcB), (stcC), (stcE), (aflR), (stcF), (stcI), (stcJ), (stcK), (stcL), (stcO), (stcQ), (stcS), (stcT), (stcU), (stcV) and (stcW) genes, complete cds	T1PKS	PKSI	Aspergillus nidulans	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Nidulantes
BGC0000153	BGC0000153	Stigmatella aurantiaca ORF8, ORF7, ORF6, ORF5, ORF4, ORF3, ORF2, ORF1, stiA gene, stiB gene, stiC gene, stiD gene, stiE gene, stiF gene, stiG gene, stiH gene, stiJ gene, stiK gene, stiL gene and ORF9	T1PKS	PKSI	Stigmatella aurantiaca Sg a15	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Cystobacterineae,Archangiaceae,Stigmatella
BGC0000154	BGC0000154	Talaromyces stipitatus ATCC 10500 scf_1105507295555 genomic scaffold, whole genome shotgun sequence	T1PKS	PKSI	Talaromyces stipitatus ATCC 10500	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Trichocomaceae,Talaromyces,Talaromyces sect. Talaromyces
BGC0000156	BGC0000156	Aspergillus niger strain ATCC 1015 TAN-1612 biosynthetic gene cluster, partial sequence	T1PKS	PKSI	Aspergillus niger	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0000157	BGC0000157	Streptomyces sp. CK4412 tautomycetin biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces sp. CK4412	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000158	BGC0000158	Streptomyces griseochromogenes tautomycetin biosynthetic gene cluster, complete sequence	T1PKS	PKSI	Streptomyces griseochromogenes	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000159	BGC0000159	Streptomyces spiroverticillatus conserved hypothetical protein, hypothetical proteins, putative dehydrogenase, putative MOSC ferredoxin--oxidoreductase, and hypothetical protein genes, complete cds; tautomycin gene cluster, complete sequence; and hypothetical protein genes, complete cds	T1PKS	PKSI	Streptomyces spiroverticillatus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000160	BGC0000160	Aspergillus terreus NIH2624 scaffold_9 genomic scaffold, whole genome shotgun sequence	T1PKS	PKSI	Aspergillus terreus NIH2624	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0000161	BGC0000161	Aspergillus terreus NIH2624 scaffold_1 genomic scaffold, whole genome shotgun sequence	T1PKS	PKSI	Aspergillus terreus NIH2624	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0000162	BGC0000162	Micromonospora chalcea tetrocarcin A gene cluster, complete sequence	T1PKS	PKSI	Micromonospora chalcea	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora
BGC0000163	BGC0000163	Streptomyces longisporoflavus strain NCIMB 11426 putative ABC transporter permease protein gene, partial cds; putative ABC transporter permease protein, conserved hypothetical protein, putative sugar kinase, zinc-binding dehydrogenase, integral membrane sugar transport protein, putative ABC transporter permease protein, putative multiple sugar ABC transporter solute-binding protein, DeoR family transcriptional regulator, putative secreted protein, hypothetical protein, 6-phosphogluconate 1-dehydrogenase, conserved hypothetical protein, periplasmic beta-glucosidase, hypothetical proteins, putative phosphoesterase, and hypothetical protein genes, complete cds; and tetronasin biosynthesis gene cluster, complete sequence	T1PKS	PKSI	Streptomyces longisporoflavus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000164	BGC0000164	Streptomyces sp. NRRL 11266 tetronomycin biosynthetic gene cluster, partial and complete cds	T1PKS	PKSI	Streptomyces sp. NRRL 11266	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000165	BGC0000165	Dactylosporangium aurantiacum subsp. hamdenensis strain NRRL 18085 tiacumicin biosynthesis gene cluster, genomic sequence	T1PKS.PKS-like	PKSother	Dactylosporangium aurantiacum subsp. hamdenensis	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium
BGC0000166	BGC0000166	Streptomyces fradiae tylactone synthase, starter module and modules 1-7, (tylG) gene, complete cds	T1PKS	PKSI	Streptomyces fradiae	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000167	BGC0000167	Streptomyces halstedii vicenistatin biosynthetic gene cluster (vinR1, vinA, vinB, vinC, vinP2, vinP3, vinP4, vinG, vinF, vinD, vinE, vinH, vinI, vinJ, vinK, vinL, vinM, vinN, vinO, vinP1), partial and complete cds	T1PKS	PKSI	Streptomyces halstedii	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000168	BGC0000168	Penicillium aethiopicum strain IBT 5753 viridicatumtoxin biosynthetic gene cluster, complete sequence; and unknown genes	T1PKS.indole	Others	Penicillium aethiopicum	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Penicillium
BGC0000170	BGC0000170	Aspergillus niger ATCC 1015, whole genome shotgun sequence	T1PKS	PKSI	Aspergillus niger ATCC 1015	Eukaryota,Fungi,Dikarya,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiomycetidae,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus subgen. Circumdati
BGC0000171	BGC0000171	Streptomyces himastatinicus ATCC 53653 9-methylstreptimidone biosynthesis gene cluster	transAT-PKS	PKSother	Streptomyces himastatinicus ATCC 53653	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceusniger group
BGC0000172	BGC0000172	Brevibacillus laterosporus PE36 PE_F_(paired)_contig_20, whole genome shotgun sequence	transAT-PKS	PKSother	Brevibacillus laterosporus PE36	Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus
BGC0000173	BGC0000173	Burkholderia gladioli strain DMSZ11318 putative regulator gene, partial cds; putative regulator gene, complete cds; and bongkrekic acid biosynthentic gene cluster, partial sequence	T3PKS.PKS-like.transAT-PKS	PKSother	Burkholderia gladioli	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
BGC0000174	BGC0000174	Candidatus Endobugula sertula isolate DEEP bryostatin ABCDX gene cluster, complete sequence	transAT-PKS-like	PKSother	Candidatus Endobugula sertula	Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Candidatus Endobugula
BGC0000175	BGC0000175	Streptomyces sp. YIM 56141 hypothetical protein genes, complete cds; cycloheximide biosynthetic gene cluster, complete sequence; and hypothetical protein genes, complete cds	lanthipeptide-class-iv.NRPS-like.transAT-PKS	Others	Streptomyces sp. YIM 56141	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000176	BGC0000176	Bacillus amyloliquefaciens dif gene cluster directing synthesis of difficidin/oxydifficidin, strain FZB42	transAT-PKS	PKSother	Bacillus velezensis FZB42	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens group
BGC0000177	BGC0000177	Streptomyces platensis subsp. rosaceus strain NRRL 18993 dorrigocin/migrastatin gene cluster, complete sequence	transAT-PKS	PKSother	Streptomyces platensis subsp. rosaceus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000178	BGC0000178	Chitinophaga sancti major facilitator superfamily protein gene, complete cds; and biosynthesis gene cluster, complete sequence	T3PKS.PKS-like.NRPS-like.transAT-PKS	PKS-NRP_Hybrids	Chitinophaga sancti	Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga
BGC0000179	BGC0000179	Sorangium cellulosum 'So ce 56' complete genome	transAT-PKS	PKSother	Sorangium cellulosum So ce56	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000180	BGC0000180	Legionella parisiensis strain ATCC 35299 lgl gene cluster, complete sequence	transAT-PKS-like.NRPS-like	PKS-NRP_Hybrids	Legionella parisiensis	Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
BGC0000181	BGC0000181	Bacillus amyloliquefaciens pks2 gene cluster, strain FZB42	transAT-PKS	PKSother	Bacillus velezensis FZB42	Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus amyloliquefaciens group
BGC0000182	BGC0000182	Pseudomonas fluorescens NCIMB 10586 mupirocin biosynthetic gene cluster	PKS-like.hserlactone.transAT-PKS	Others	Pseudomonas fluorescens	Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
BGC0000184	BGC0000184	Sorangium cellulosum strain So ce12 sorangicin gene cluster, complete sequence	transAT-PKS	PKSother	Sorangium cellulosum	Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sorangiineae,Polyangiaceae,Sorangium
BGC0000185	BGC0000185	Teredinibacter turnerae T7901, complete genome	transAT-PKS	PKSother	Teredinibacter turnerae T7901	Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Teredinibacter
BGC0000186	BGC0000186	Burkholderia thailandensis E264 chromosome II, complete sequence	PKS-like.NRPS.transAT-PKS	PKS-NRP_Hybrids	Burkholderia thailandensis E264	Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,pseudomallei group
BGC0000187	BGC0000187	Streptomyces nodosus subsp. asukaensis strain ATCC 29757 hypothetical protein genes, complete cds; asukamycin biosynthetic gene cluster, complete sequence	furan	Others	Streptomyces nodosus subsp. asukaensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000188	BGC0000188	Cylindrospermopsis raciborskii T3 toxin biosynthesis gene cluster, complete sequence		Others	Cylindrospermopsis raciborskii T3	Bacteria,Cyanobacteria,Nostocales,Aphanizomenonaceae,Cylindrospermopsis
BGC0000189	BGC0000189	Xenorhabdus bovienii SS-2004 chromosome, complete genome		Others	Xenorhabdus bovienii SS-2004	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Xenorhabdus
BGC0000190	BGC0000190	Streptomyces sp. SANK 61196 SAN biosynthetic gene cluster, complete sequence	T2PKS	PKSother	Streptomyces sp. SANK 61196	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000191	BGC0000191	Streptomyces galilaeus aklavinone-aclacinomycin biosynthesis gene cluster, complete cds	T2PKS.PKS-like	PKSother	Streptomyces galilaeus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000192	BGC0000192	Streptomyces galilaeus aclacinomycin biosynthesis gene cluster, partial sequence	T2PKS.PKS-like	PKSother	Streptomyces galilaeus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000193	BGC0000193	Streptomyces galilaeus aclacinomycin biosynthetic gene cluster, partial sequence		Others	Streptomyces galilaeus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000194	BGC0000194	Streptomyces coelicolor A3(2) complete genome	T2PKS	PKSother	Streptomyces coelicolor A3(2)	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces albidoflavus group
BGC0000195	BGC0000195	Streptomyces sp. CM020 alnumycin gene cluster, complete sequence	T2PKS	PKSother	Streptomyces sp. CM020	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000196	BGC0000196	Photorhabdus luminescens subsp. laumondii TTO1 complete genome		Others	Photorhabdus laumondii subsp. laumondii TTO1	Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Photorhabdus
BGC0000197	BGC0000197	Streptomyces echinatus aranciamycin biosynthetic gene cluster, complete sequence	T2PKS	PKSother	Streptomyces echinatus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000198	BGC0000198	Salinispora arenicola CNB527 B033DRAFT_scaffold_1.2_C, whole genome shotgun sequence	T2PKS	PKSother	Salinispora arenicola CNB527	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Salinispora
BGC0000199	BGC0000199	Uncultured bacterium clone AZ129 arimetamycin gene cluster, complete sequence	T2PKS.oligosaccharide	Others	uncultured bacterium	Bacteria,environmental samples
BGC0000200	BGC0000200	Uncultured bacterium arixanthomycin gene cluster, complete sequence	T2PKS	PKSother	uncultured bacterium	Bacteria,environmental samples
BGC0000201	BGC0000201	Streptomyces aureofaciens strain CCM3239 plasmid pSA3239, complete sequence	T2PKS	PKSother	Streptomyces aureofaciens	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000202	BGC0000202	Kibdelosporangium sp. MJ126-NF4 azicemicins biosynthetic gene cluster, complete sequence	T2PKS	PKSother	Kibdelosporangium sp. MJ126-NF4	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kibdelosporangium,unclassified Kibdelosporangium
BGC0000203	BGC0000203	Amycolatopsis orientalis subsp. vinearia strain BA-07585 BE-7585A biosynthetic gene cluster, complete sequence	T2PKS	PKSother	Amycolatopsis orientalis subsp. vinearia	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
BGC0000204	BGC0000204	Streptomyces sp. A2991200 benG gene, benF gene, benE gene, benD gene, benA gene, benB gene, benC gene, benH gene, benJ gene, benR gene, benL gene and benQ gene	T2PKS	PKSother	Streptomyces sp. A2991200	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000205	BGC0000205	Candidatus Endobugula sertula isolate DEEP transposase-like protein gene, complete cds; bryostatin PQRS gene cluster, complete sequence; and oxidoreductase gene, complete cds	T3PKS.PKS-like	PKSother	Candidatus Endobugula sertula	Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Candidatus Endobugula
BGC0000207	BGC0000207	Streptomyces chartreusis HKI-249 chartreusin biosynthesis gene cluster B		Others	Streptomyces chartreusis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000208	BGC0000208	Amycolatopsis sulphurea strain NRRL 2822 chelocardin biosynthesis gene cluster, complete sequence	T2PKS	PKSother	Amycolatopsis sulphurea	Bacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis
BGC0000209	BGC0000209	Streptomyces aureofaciens strain F3 chlortetracycline biosynthesis gene cluster, partial sequence	T2PKS	PKSother	Kitasatospora aureofaciens	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Kitasatospora
BGC0000210	BGC0000210	Streptomyces griseus subsp. griseus chromomycin A3 biosynthesis gene cluster, strain ATCC13273	T2PKS.oligosaccharide	Others	Streptomyces griseus subsp. griseus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000211	BGC0000211	Streptomyces albaduncus chrysomycin biosynthetic gene cluster	T2PKS	PKSother	Streptomyces albaduncus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000212	BGC0000212	Streptomyces sp. SPB74 genomic scaffold supercont3.1, whole genome shotgun sequence	T2PKS.PKS-like	PKSother	Streptomyces sp. SPB074	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000213	BGC0000213	Streptomyces aureus strain SOK1/5-04 genomic sequence	ladderane.furan	Others	Streptomyces aureus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000214	BGC0000214	Streptomyces olindensis DAUFPE 5622 cosmomycin gene cluster, partial sequence	T2PKS	PKSother	Streptomyces olindensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000215	BGC0000215	S.curacoi polyketide synthase gene cluster	T2PKS	PKSother	Streptomyces cyaneus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000216	BGC0000216	Dactylosporangium sp. SC14051 dactylocycline biosynthetic gene cluster, complete sequence	T2PKS	PKSother	Dactylosporangium sp. SC14051	Bacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium,unclassified Dactylosporangium
BGC0000217	BGC0000217	Streptomyces sp. aklaviketone reductase (dauE) gene; cyclase/dehydrase (dauA) gene; polyketide reductase (dauB) gene; oxygenase, polyketide synthase, acyltransferase (dauA) genes; aklanonic acid methyltransferase (dauC) gene	T2PKS	PKSother	Streptomyces sp.	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000218	BGC0000218	Streptomyces peucetius daunorubicin-doxorubicin polyketide synthase (dnrH, dpsA-dpsF) genes, ORF5 and ORF8, complete cds	T2PKS	PKSother	Streptomyces peucetius	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000219	BGC0000219	Streptomyces olivaceus elloramycin gene cluster, strain Tu 2353	T2PKS	PKSother	Streptomyces olivaceus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000220	BGC0000220	Streptomyces maritimus enterocin biosynthetic gene cluster, complete sequence	T2PKS	PKSother	Streptomyces maritimus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000221	BGC0000221	Uncultured soil bacterium V167 Erd gene cluster, complete sequence; and unknown genes	T2PKS	PKSother	uncultured soil bacterium V167	Bacteria,environmental samples
BGC0000222	BGC0000222	Streptomyces sp. TA-0256 DNA, FD-594 producer gene cluster	T2PKS	PKSother	Streptomyces sp. TA-0256	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000223	BGC0000223	Uncultured bacterium BAC AB649/1850 fluostatin biosynthetic gene cluster, complete sequence	T2PKS	PKSother	uncultured bacterium BAC AB649/1850	Bacteria,environmental samples
BGC0000224	BGC0000224	Streptomyces griseus fredericamycin biosynthetic gene cluster, complete sequence	T2PKS	PKSother	Streptomyces griseus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000225	BGC0000225	Streptomyces roseofulvus frenolicin biosynthetic gene cluster, complete sequence	T2PKS	PKSother	Streptomyces roseofulvus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000226	BGC0000226	Streptomyces griseoflavus strain Goe 3592 gilvocarcin biosynthetic gene cluster, complete sequence	T2PKS	PKSother	Streptomyces griseoflavus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000227	BGC0000227	Streptomyces violaceoruber Tu22 granaticin biosynthetic gene cluster	T2PKS.RRE-containing	Others	Streptomyces violaceoruber	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces anthocyanicus group
BGC0000229	BGC0000229	Streptomyces lusitanus strain SCSIO LR32 grincamycin gene cluster, partial sequence	T2PKS.oligosaccharide	Others	Streptomyces lusitanus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000230	BGC0000230	Streptomyces sp. JP95 griseorhodin biosynthesis gene cluster, complete sequence	T2PKS	PKSother	Streptomyces sp. JP95	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000231	BGC0000231	S.griseus genes for ketosynthase, acyl carrier protein, ketoreductase, cyclase and dehydrase	T2PKS	PKSother	Streptomyces griseus	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000232	BGC0000232	Streptomyces sp. 2238-SVT4 hatomarubigin biosynthesis gene cluster (orf1, hrbR1, hrbA, hrbB, hrbC, hrbD, hrbE, hrbF, hrbG, hrbH, hrbI, hrbJ, hrbK, hrbL, hrbM, hrbN, hrbO, hrbP, hrbQ, hrbR, hrbS, hrbT, hrbU, hrbV, hrbW, hrbX, hrbR2, hrbY, hrbR3, hrbZ1, hrbZ2, orf2, orf3), complete cds	T2PKS	PKSother	Streptomyces sp. 2238-SVT4	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000233	BGC0000233	Streptomyces griseoruber heda cluster, complete sequence	T1PKS.PKS-like.T2PKS	PKSother	Streptomyces griseoruber	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000234	BGC0000234	Streptomyces venezuelae JadJ (jadJ), jadomycin polyketide synthase cyclase (jadI), jadomycin polyketide ketosynthase (jadA), chain length determinant, acyl carrier protein (acp), ketoreductase, and bifunctional cyclase/dehydrase genes, complete cds	T2PKS	PKSother	Streptomyces venezuelae ATCC 10712	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000235	BGC0000235	Streptomyces sp. W007 contig00151, whole genome shotgun sequence	T2PKS	PKSother	Streptomyces sp. W007	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
BGC0000236	BGC0000236	Streptomyces murayamaensis putative vitamin B12-dependent ribonucleotide reductase gene, partial cds; putative arylamine N-acetyltransferase, putative hydrolase, putative transmembrane efflux protein, putative transcriptional regulator, putative ribonuclease HII, putative ATP-dependent DNA helicase, putative bifunctional enzyme deaminase/reductase, putative TetR/AcrR-family transcriptional regulator (kinR), KinU1 (kinU1), JadX-like protein (kinX), oxygenase-like protein (kinO1), anthrone oxidase-like protein (kinG), JadI cyclase-like protein (kinI), putative ketoacyl synthase (kinA), putative chain length determinant (kinB), putative acyl carrier protein (kinC), putative ketoreductase (kinE), cyclase/dehydratase-like protein (kinD), oxygenase reductase-like protein (kinOR), oxygenase-like protein (kinO2), LanU-like protein (kinU), putative integral membrane efflux protein (kinJ), JadM phosphopantetheinyl transferase-like protein (kinM), JadN decarboxylase-like protein (kinN), and SimX2-like protein (kinX2) genes, complete cds; and unknown genes	T2PKS	PKSother	Streptomyces murayamaensis	Bacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces
